AuthorityName,Region,Sector,authority_id,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Assessor for Fife Council,Fife,Local Government,18,5,0,0,0,0,5,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Grampian Valuation Joint Board & Grampian Valuation Joint Board,Grampian,Local Government,20,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Highland and Western Isles Valuation Joint Board,Highland and Islands,Local Government,21,4,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lanarkshire Valuation Joint Board,Strathclyde,Local Government,22,4,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,Lothian and Borders,Local Government,23,7,0,0,0,0,5,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessor for Scottish Borders Council,Lothian and Borders,Local Government,26,4,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Tayside Valuation Joint Board,Tayside,Local Government,27,6,0,0,0,0,6,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Scotland,National,Others e.g. NDPBs,28,20,0,0,0,0,14,1,0,0,0,0,12,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditor General for Scotland,National,Others e.g. NDPBs,29,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire and Arran Health Board,Ayrshire,National Health Service,31,568,1,3,0,0,480,33,1,61,0,0,235,12,234,29,0,8,0,0,0,0,6,1,0,0,0,0,3,0,4,0,0,7,4,3,0,0,3,0,0,0,0,0,0,0,0,20,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
Ayrshire Valuation Joint Board,Ayrshire,Local Government,32,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board of Trustees for the National Galleries of Scotland,National,Others e.g. NDPBs,34,12,2,0,0,0,7,6,0,0,0,0,9,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the National Museums of Scotland,National,Others e.g. NDPBs,35,18,1,0,0,0,18,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Board of Trustees of the Royal Botanic Garden Edinburgh,Lothian and Borders,Others e.g. NDPBs,36,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bord na Gaidhlig,National,Others e.g. NDPBs,37,4,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders College,Lothian and Borders,Educational Institutions,38,14,0,0,0,0,11,0,0,0,0,0,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders Health Board,Lothian and Borders,National Health Service,39,499,1,1,0,0,449,49,0,40,0,1,256,0,163,78,0,13,0,0,0,0,12,1,0,0,0,0,10,0,3,0,0,310,4,4,0,0,3,1,0,0,0,0,0,0,0,54,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,71,,,,,,,,1,,,,,,,,,,,
Cairngorms National Park Authority,Highland and Islands,Others e.g. NDPBs,40,22,0,0,0,0,22,0,0,0,0,0,16,0,4,2,0,15,1,0,0,0,13,1,0,1,0,0,8,1,0,5,0,2,1,1,0,0,1,0,0,2,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
City of Edinburgh Council,Lothian and Borders,Local Government,45,1263,36,16,1,0,1033,230,0,72,0,5,497,303,316,323,8,918,26,15,9,2,863,130,0,0,5,24,480,132,214,206,0,504,52,47,3,2,39,7,4,33,24,5,3,19,10,97,0,11,0,0,1,0,0,0,0,0,0,0,0,6,47,0,0,0,0,0,30,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,7,2,0,0,3,60,0,0,2,3,0,0,2,6,0,18,10,6,19,1,1,0,4,89,38
City of Edinburgh Licensing Board,Lothian and Borders,Local Government,46,7,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire Council and Licensing Board,Central,Local Government,47,1001,14,4,,,849,117,17,3,,1,821,13,45,34,,,,,,,,,,,,,,,,,,,22,22,,,14,1,7,,,,,,,48,,1,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,2,,,,,,,,2,,,,8,1,,,1,,,,,,,,,,,,,,,,
Comhairle nan Eilean Siar,Highland and Islands,Local Government,51,1034,16,1,8,0,917,84,36,7,0,0,654,0,0,15,0,38,0,0,0,0,35,3,0,0,0,0,33,0,0,0,0,20,9,8,0,0,6,1,1,1,1,0,0,1,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crofting Commission,National,Others e.g. NDPBs,52,6,,1,,,5,,,,,,1,,1,3,,23,1,,,,15,,,,,,12,,13,1,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,15,,,,,,,,3,,,,,6,12,
Crown Office and Procurator Fiscal Service,National,Non Ministerial Officeholders,53,273,2,3,0,0,245,6,0,15,1,2,82,58,35,59,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101,27,22,0,0,19,3,0,0,0,0,0,0,0,4,,,,1,1,,,1,,,,,7,5,,1,,,1,,,,,8,,5,,,5,3,5,,,,,,,,,,6,22,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway College,Dumfries and Galloway,Educational Institutions,55,8,0,0,0,0,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Council,Dumfries and Galloway,Local Government,56,980,,,,,939,28,13,11,,,626,133,119,166,,198,,,,,192,4,2,,2,,122,21,33,23,,,19,10,4,5,11,3,,0,,,,,,73,1,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,4,,,,,,,,,4,,,21,14,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway Licensing Board,Dumfries and Galloway,Local Government,57,24,,,,,24,,,,,,17,,,,,0,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway Health Board,Dumfries and Galloway,National Health Service,58,503,6,5,,,474,27,1,,,,232,78,145,74,2,0,,,,,,,,,,,,,,,,632,16,11,1,,10,2,,,,,,,,15,,,,,5,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,64,,5,,,,,,,,,,,,,,,,,
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,Strathclyde,Local Government,59,6,0,0,0,0,6,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee City Council and Licensing Board,Tayside,Local Government,60,967,15,2,0,0,719,179,85,23,0,0,589,158,151,171,0,395,5,1,10,0,296,67,39,0,0,1,269,48,45,63,0,,15,12,1,0,3,7,2,5,2,2,3,0,13,57,0,0,0,0,5,,,,,,,,1,1,,,,,,,14,,,,,,,,7,,,,,,,,,,,,,35,,,,,,,2,,,,,1,6,2,,,,3,
East Ayrshire Council,Ayrshire,Local Government,63,975,12,26,0,0,892,83,0,1,0,0,755,14,111,53,0,34,0,2,1,0,30,4,0,2,0,0,31,0,0,0,0,28,6,6,0,0,3,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,,,,,,15,,,,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
East Ayrshire Licensing Board,Ayrshire,Local Government,64,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire Council and Licensing Board,Strathclyde,Local Government,65,1115,53,3,0,0,772,23,1,18,0,2,783,12,102,94,0,217,2,0,0,0,215,2,0,0,2,0,170,2,11,16,0,50,14,14,0,0,13,1,0,4,4,0,0,2,2,65,,,,,7,,,1,,,,1,,,1,,,,,,13,,,,,,,,1,,,,,,,,5,,,,72,15,,,,,,,2,1,0,2,0,3,2,1,0,0,16,0,0
East Lothian Council,Lothian and Borders,Local Government,67,877,5,4,2,0,824,3,0,9,0,1,496,40,192,38,1,297,7,8,147,24,166,2,1,0,7,2,64,43,35,21,0,94,14,13,0,0,10,3,0,17,17,0,0,12,5,66,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,31,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,18,0
East Lothian Licensing Board,Lothian and Borders,Local Government,68,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Renfrewshire Council and Licensing Board,Strathclyde,Local Government,69,895,3,5,2,0,679,141,53,2,1,0,678,56,82,34,0,194,0,1,0,0,147,32,9,0,0,0,134,9,33,15,0,25,14,8,0,6,4,3,1,3,2,0,1,1,1,14,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Falkirk Council,Central,Local Government,71,1233,18,5,1,0,908,220,13,12,2,2,794,142,134,140,21,104,0,1,0,0,94,10,1,1,0,0,88,0,7,0,0,104,26,11,10,3,5,5,7,3,3,0,0,2,1,19,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,18,0,0,2,10,0,0,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkirk Licensing Board,Central,Local Government,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fife Council and Licensing Board,Fife,Local Government,73,1505,35,15,0,0,1400,110,16,27,0,0,720,273,247,207,0,535,15,5,0,0,522,32,8,29,6,3,340,135,145,45,0,538,34,27,0,3,21,3,3,25,20,4,2,9,12,84,1,1,,,10,1,,,,,,,1,1,14,4,,,,,8,,,1,1,,,,5,,,,,,,,14,19,1,,29,64,,,70,112,,,,1,,1,1,7,1,,,,2,29,8
Fife Health Board,Fife,National Health Service,75,559,0,0,0,0,448,91,20,16,0,0,321,45,84,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,3,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley College of Further and Higher Education,Central,Educational Institutions,78,15,0,1,0,0,12,2,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
