id,value,child_of,combo_of,special,description
1,All requests,,*children*,ALL,
2,Public Information Requests,All requests,,PI_ALL,
120,Public Information Requests (comparison),,,,
3,FOISA requests,Public Information Requests,,FOI_ALL,
4,FOISA closed - unclear,FOISA requests,,,
5,FOISA closed - withdrawn,FOISA requests,,,
6,FOISA fees notice,FOISA requests,,,
7,FOISA - fees paid,FOISA requests,,,
8,FOISA response on time,FOISA requests,,,
9,FOISA response late,FOISA requests,,,
10,FOISA - faliure to respond,FOISA requests,,,
11,FOISA refused - cost,FOISA requests,,,
12,FOISA - vexatious,FOISA requests,,,
13,FOISA - repeated,FOISA requests,,,
14,FOISA - full release,FOISA requests,,FOI_FULL,
15,FOISA - none released,FOISA requests,,,
16,FOISA - some released,FOISA requests,,,
17,FOISA - none held ,FOISA requests,,,
18,FOISA - no confirm/deny,FOISA requests,,,
19,EIR requests,Public Information Requests,,EIR_ALL,
20,EIR closed - unclear ,EIR requests,,,
21,EIR closed - withdrawn,EIR requests,,,
22,EIRs fees notice,EIR requests,,,
23,EIRs - fees paid,EIR requests,,,
24,EIRs response on time,EIR requests,,,
25,EIRs response late,EIR requests,,,
26,EIRs - failure to respond,EIR requests,,,
27,EIR timescale extended,EIR requests,,,
28,EIRs refused - cost,EIR requests,,,
29,EIRs - manifestly unreasonable,EIR requests,,,
30,EIRs - full release,EIR requests,,EIR_FULL,
31,EIRs - none released ,EIR requests,,,
32,EIRs - some released,EIR requests,,,
33,EIRs - none held,EIR requests,,,
34,EIRs - no confirm/deny,EIR requests,,,
35,Subject Access Requests,All requests,,SAR_ALL,
36,FOISA reviews ,FOISA requests,,,
37,FOISA review - on time,FOISA reviews ,,,
38,FOISA review - late response,FOISA reviews ,,,
39,FOISA review - failure to respond,FOISA reviews ,,,
40,FOISA review - wholly/partially upheld,FOISA reviews ,,,
41,FOISA review - substituted decision,FOISA reviews ,,,
42,FOISA review - decision reached ,FOISA reviews ,,,
43,EIRs reviews,EIR requests,,,
44,EIRs review - on time,EIRs reviews,,,
45,EIRs review - late response ,EIRs reviews,,,
