AuthorityName,authority_id,sector,render_full,wdtk_id_1,wdtk_id_2,wdtk_id_3,wdtk_id_4,wdtk_id_5,wdtk_id_6,wdtk_id_7,wdtk_id_8,wdtk_id_9,wdtk_id_10,wdtk_id_11
Forth Valley College of Further and Higher Education,78,Educational Institutions,1,4287,,,,,,,,,,
Perth College,147,Educational Institutions,1,5688,,,,,,,,,,
Queen Margaret University Edinburgh,151,Educational Institutions,1,535,,,,,,,,,,
Borders College,38,Educational Institutions,1,5648,,,,,,,,,,
Robert Gordon University,159,Educational Institutions,1,1284,,,,,,,,,,
Sabhal Mor Ostaig,162,Educational Institutions,1,5670,,,,,,,,,,
Regional Board for Glasgow Colleges,321,Educational Institutions,1,,,,,,,,,,,
Dumfries and Galloway College,55,Educational Institutions,1,5673,,,,,,,,,,
Glasgow Caledonian University,81,Educational Institutions,1,1123,,,,,,,,,,
The Glasgow School of Art,85,Educational Institutions,1,3548,,,,,,,,,,
Heriot-Watt University,93,Educational Institutions,1,513,,,,,,,,,,
Inverness College,102,Educational Institutions,1,5698,,,,,,,,,,
Lews Castle College,112,Educational Institutions,1,5703,,,,,,,,,,
Moray College,121,Educational Institutions,1,5706,,,,,,,,,,
Edinburgh Napier University,125,Educational Institutions,1,529,,,,,,,,,,
Newbattle Abbey College,126,Educational Institutions,1,5709,,,,,,,,,,
North Highland College,134,Educational Institutions,1,5710,,,,,,,,,,
Royal Conservatoire of Scotland,161,Educational Institutions,1,12791,,,,,,,,,,
SRUC,164,Educational Institutions,1,13862,,,,,,,,,,
South Lanarkshire College,196,Educational Institutions,1,4706,,,,,,,,,,
University of the Highlands and Islands,216,Educational Institutions,1,5659,,,,,,,,,,
University of Aberdeen,217,Educational Institutions,1,548,,,,,,,,,,
University of Abertay Dundee,218,Educational Institutions,1,549,,,,,,,,,,
University of Dundee,219,Educational Institutions,1,1134,,,,,,,,,,
University of Edinburgh,220,Educational Institutions,1,1301,,,,,,,,,,
University of Glasgow,221,Educational Institutions,1,560,,,,,,,,,,
University of the West of Scotland,222,Educational Institutions,1,1288,,,,,,,,,,
University of St Andrews,223,Educational Institutions,1,573,,,,,,,,,,
University of Stirling,224,Educational Institutions,1,1139,,,,,,,,,,
University of Strathclyde,225,Educational Institutions,1,1140,,,,,,,,,,
West Lothian College,230,Educational Institutions,1,4283,,,,,,,,,,
West Highland College UHI,261,Educational Institutions,1,55539,,,,,,,,,,
City of Glasgow College,264,Educational Institutions,1,4342,,,,,,,,,,
Edinburgh College,266,Educational Institutions,1,13863,,,,,,,,,,
Argyll College,267,Educational Institutions,1,55538,,,,,,,,,,
Glasgow Clyde College,271,Educational Institutions,1,52200,,,,,,,,,,
Ayrshire College,272,Educational Institutions,1,52309,,,,,,,,,,
Fife College,273,Educational Institutions,1,52199,,,,,,,,,,
West College Scotland,274,Educational Institutions,1,52308,,,,,,,,,,
New College Lanarkshire,275,Educational Institutions,1,52252,,,,,,,,,,
Dundee and Angus College,276,Educational Institutions,1,52253,,,,,,,,,,
North East Scotland College,277,Educational Institutions,1,52359,,,,,,,,,,
Glasgow Kelvin College,278,Educational Institutions,1,55537,,,,,,,,,,
Aberdeen City Council,2,Local Government,1,39,,,,,,,,,,
Aberdeen City Licensing Board,3,Local Government,1,5637,,,,,,,,,,
Aberdeenshire Council and Licensing Board,5,Local Government,1,40,5638,,,,,,,,,
Angus Council,9,Local Government,1,45,,,,,,,,,,
Angus Licensing Board,10,Local Government,1,5640,,,,,,,,,,
Argyll and Bute Council,12,Local Government,1,48,,,,,,,,,,
Argyll and Bute Licensing Board,13,Local Government,1,5642,,,,,,,,,,
Assessor for Ayrshire Valuation Joint Board,14,Local Government,1,5643,,,,,,,,,,
Assessor for Central Scotland Valuation Joint Board and Central Valuation Joint Board,15,Local Government,1,5644,,,,,,,,,,
Assessor & Electoral Registration Officer for Dumfries and Galloway,16,Local Government,1,5610,,,,,,,,,,
Assessor for Fife Council,18,Local Government,1,5612,,,,,,,,,,
Assessor for Grampian Valuation Joint Board & Grampian Valuation Joint Board,20,Local Government,1,5615,,,,,,,,,,
Assessor for Highland and Western Isles Valuation Joint Board,21,Local Government,1,5616,,,,,,,,,,
Assessor for Lanarkshire Valuation Joint Board,22,Local Government,1,5617,,,,,,,,,,
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,23,Local Government,1,5618,,,,,,,,,,
Assessor for Scottish Borders Council,26,Local Government,1,5621,,,,,,,,,,
Assessor for Tayside Valuation Joint Board,27,Local Government,1,5622,,,,,,,,,,
Ayrshire Valuation Joint Board,32,Local Government,1,5645,,,,,,,,,,
City of Edinburgh Council,45,Local Government,1,185,,,,,,,,,,
City of Edinburgh Licensing Board,46,Local Government,1,5655,,,,,,,,,,
Comhairle nan Eilean Siar,51,Local Government,1,133,,,,,,,,,,
Dumfries and Galloway Council,56,Local Government,1,162,,,,,,,,,,
Dumfries and Galloway Licensing Board,57,Local Government,1,5674,,,,,,,,,,
Clackmannanshire Council and Licensing Board,47,Local Government,1,130,5656,,,,,,,,,
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,59,Local Government,1,5611,,,,,,,,,,
Dundee City Council and Licensing Board,60,Local Government,1,163,5676,,,,,,,,,
East Ayrshire Council,63,Local Government,1,168,,,,,,,,,,
East Ayrshire Licensing Board,64,Local Government,1,5677,,,,,,,,,,
East Dunbartonshire Council and Licensing Board,65,Local Government,1,172,,,,,,,,,,
East Lothian Council,67,Local Government,1,176,,,,,,,,,,
East Lothian Licensing Board,68,Local Government,1,5678,,,,,,,,,,
East Renfrewshire Council and Licensing Board,69,Local Government,1,178,5679,,,,,,,,,
Falkirk Council,71,Local Government,1,191,,,,,,,,,,
Falkirk Licensing Board,72,Local Government,1,5681,,,,,,,,,,
Fife Council and Licensing Board,73,Local Government,1,603,5682,,,,,,,,,
City of Glasgow Licensing Board,83,Local Government,1,,,,,,,,,,,
Highland Council and Licensing Board,95,Local Government,1,613,5695,,,,,,,,,
Moray Council and Licensing Board,122,Local Government,1,269,5635,,,,,,,,,
Glasgow City Council,82,Local Government,1,197,,,,,,,,,,
North Ayrshire Council and Licensing Board,131,Local Government,1,624,5634,,,,,,,,,
North Lanarkshire Council and Licensing Board,135,Local Government,1,281,5711,,,,,,,,,
Orkney and Shetland Valuation Joint Board and Assessor for Orkney and Shetland Valuation Joint Board,140,Local Government,1,5689,5619,,,,,,,,,
Highland and Western Isles Valuation Joint Board,94,Local Government,1,5694,,,,,,,,,,
Orkney Islands Council and Licensing Board,141,Local Government,1,296,,,,,,,,,,
Perth and Kinross Council and Licensing Board,145,Local Government,1,302,5632,,,,,,,,,
Inverclyde Council,100,Local Government,1,616,,,,,,,,,,
Inverclyde Licensing Board,101,Local Government,1,5697,,,,,,,,,,
